INFO  | 2022-08-02 00:01:03,349  | file: demon_auto_purchase_bundle.py |  line: 44 | [demon] Поверяем истекающие премиум-пакеты
INFO  | 2022-08-02 00:01:03,368  | file: demon_auto_purchase_bundle.py |  line: 54 | [demon] Cегодня 2022-08-02, количество людей с автопродлением подписки: 0
INFO  | 2022-08-02 00:01:03,370  | file: demon_auto_purchase_bundle.py |  line: 57 | [demon] Выход из программы
INFO  | 2022-08-03 00:01:03,322  | file: demon_auto_purchase_bundle.py |  line: 44 | [demon] Поверяем истекающие премиум-пакеты
INFO  | 2022-08-03 00:01:03,343  | file: demon_auto_purchase_bundle.py |  line: 54 | [demon] Cегодня 2022-08-03, количество людей с автопродлением подписки: 0
INFO  | 2022-08-03 00:01:03,347  | file: demon_auto_purchase_bundle.py |  line: 57 | [demon] Выход из программы
INFO  | 2022-08-04 00:01:03,346  | file: demon_auto_purchase_bundle.py |  line: 44 | [demon] Поверяем истекающие премиум-пакеты
INFO  | 2022-08-04 00:01:03,363  | file: demon_auto_purchase_bundle.py |  line: 54 | [demon] Cегодня 2022-08-04, количество людей с автопродлением подписки: 0
INFO  | 2022-08-04 00:01:03,365  | file: demon_auto_purchase_bundle.py |  line: 57 | [demon] Выход из программы
INFO  | 2022-08-05 00:01:02,912  | file: demon_auto_purchase_bundle.py |  line: 44 | [demon] Поверяем истекающие премиум-пакеты
INFO  | 2022-08-05 00:01:02,933  | file: demon_auto_purchase_bundle.py |  line: 54 | [demon] Cегодня 2022-08-05, количество людей с автопродлением подписки: 0
INFO  | 2022-08-05 00:01:02,935  | file: demon_auto_purchase_bundle.py |  line: 57 | [demon] Выход из программы
INFO  | 2022-08-06 00:01:03,281  | file: demon_auto_purchase_bundle.py |  line: 44 | [demon] Поверяем истекающие премиум-пакеты
INFO  | 2022-08-06 00:01:03,303  | file: demon_auto_purchase_bundle.py |  line: 54 | [demon] Cегодня 2022-08-06, количество людей с автопродлением подписки: 0
INFO  | 2022-08-06 00:01:03,306  | file: demon_auto_purchase_bundle.py |  line: 57 | [demon] Выход из программы
INFO  | 2022-08-07 00:01:02,775  | file: demon_auto_purchase_bundle.py |  line: 44 | [demon] Поверяем истекающие премиум-пакеты
INFO  | 2022-08-07 00:01:02,807  | file: demon_auto_purchase_bundle.py |  line: 54 | [demon] Cегодня 2022-08-07, количество людей с автопродлением подписки: 0
INFO  | 2022-08-07 00:01:02,811  | file: demon_auto_purchase_bundle.py |  line: 57 | [demon] Выход из программы
INFO  | 2022-08-08 00:01:02,903  | file: demon_auto_purchase_bundle.py |  line: 44 | [demon] Поверяем истекающие премиум-пакеты
INFO  | 2022-08-08 00:01:02,923  | file: demon_auto_purchase_bundle.py |  line: 54 | [demon] Cегодня 2022-08-08, количество людей с автопродлением подписки: 0
INFO  | 2022-08-08 00:01:02,926  | file: demon_auto_purchase_bundle.py |  line: 57 | [demon] Выход из программы
INFO  | 2022-08-09 00:01:02,858  | file: demon_auto_purchase_bundle.py |  line: 44 | [demon] Поверяем истекающие премиум-пакеты
INFO  | 2022-08-09 00:01:02,880  | file: demon_auto_purchase_bundle.py |  line: 54 | [demon] Cегодня 2022-08-09, количество людей с автопродлением подписки: 0
INFO  | 2022-08-09 00:01:02,882  | file: demon_auto_purchase_bundle.py |  line: 57 | [demon] Выход из программы
INFO  | 2022-08-10 00:01:03,086  | file: demon_auto_purchase_bundle.py |  line: 44 | [demon] Поверяем истекающие премиум-пакеты
INFO  | 2022-08-10 00:01:03,105  | file: demon_auto_purchase_bundle.py |  line: 54 | [demon] Cегодня 2022-08-10, количество людей с автопродлением подписки: 0
INFO  | 2022-08-10 00:01:03,108  | file: demon_auto_purchase_bundle.py |  line: 57 | [demon] Выход из программы
INFO  | 2022-08-11 00:01:03,566  | file: demon_auto_purchase_bundle.py |  line: 44 | [demon] Поверяем истекающие премиум-пакеты
INFO  | 2022-08-11 00:01:03,582  | file: demon_auto_purchase_bundle.py |  line: 54 | [demon] Cегодня 2022-08-11, количество людей с автопродлением подписки: 0
INFO  | 2022-08-11 00:01:03,584  | file: demon_auto_purchase_bundle.py |  line: 57 | [demon] Выход из программы
INFO  | 2022-08-12 00:01:02,895  | file: demon_auto_purchase_bundle.py |  line: 44 | [demon] Поверяем истекающие премиум-пакеты
