created_at;user_id;problem_id;is_correct;type
2023-04-30 13:47:14.344471;7;870;1;submit
2023-04-30 13:46:15.949925;7;870;0;submit
2023-04-30 16:13:26.005286;173;21;1;submit
2023-04-30 16:13:06.739782;173;21;;run
2023-04-30 15:52:00.195532;173;25;1;submit
2023-04-30 15:51:15.114210;173;25;;run
2023-04-30 15:50:57.727487;173;25;;run
2023-04-30 15:50:35.711278;173;25;;run
2023-04-30 15:49:17.967668;173;25;0;submit
2023-04-30 15:48:52.814289;173;25;;run
2023-04-30 15:47:51.875215;173;25;;run
2023-04-30 15:47:37.714955;173;25;;run
2023-04-30 15:39:54.768811;173;25;;run
2023-04-30 15:39:22.460430;173;25;;run
2023-04-30 15:37:13.726801;173;25;;run
2023-04-30 15:37:03.852246;173;25;;run
2023-04-30 20:55:37.755668;173;35;1;submit
2023-04-30 20:55:25.453130;173;35;;run
2023-04-30 20:54:42.698921;173;35;;run
2023-04-30 20:43:22.187698;173;35;;run
2023-04-30 20:43:04.411416;173;35;0;submit
2023-04-30 20:42:46.801613;173;35;0;submit
2023-04-30 20:40:50.780915;173;35;0;submit
2023-04-30 20:40:47.345416;173;35;0;submit
2023-04-30 20:40:43.950728;173;35;0;submit
2023-04-30 20:40:08.455754;173;35;;run
2023-04-30 20:39:58.533184;173;35;;run
2023-04-30 20:39:02.795284;173;35;0;submit
2023-04-30 20:38:46.746822;173;35;;run
2023-04-30 20:38:35.036343;173;35;;run
2023-04-30 20:25:58.929191;173;35;0;submit
2023-04-30 20:25:55.282346;173;35;0;submit
2023-04-30 20:25:46.089328;173;35;0;submit
2023-04-30 20:25:34.470070;173;35;;run
2023-04-30 20:25:26.300498;173;35;;run
2023-04-30 20:24:44.534658;173;35;;run
2023-04-30 20:24:33.549082;173;35;;run
2023-04-30 20:23:15.890849;173;35;;run
2023-04-30 20:22:28.769125;173;35;;run
2023-04-30 16:26:46.259261;173;35;0;submit
2023-04-30 16:26:39.049786;173;35;;run
2023-04-30 16:22:22.302537;173;35;;run
2023-04-30 16:21:51.396756;173;35;;run
2023-04-30 16:21:36.883134;173;35;0;submit
2023-04-30 16:21:29.155887;173;35;;run
2023-04-30 16:21:15.122820;173;35;;run
2023-04-30 16:20:55.529184;173;35;0;submit
2023-04-30 16:20:46.399756;173;35;;run
2023-04-30 16:19:37.394470;173;35;;run
2023-04-30 16:24:37.483854;183;173;1;submit
2023-04-30 16:24:25.576603;183;173;;run
2023-04-30 16:24:11.546571;183;173;0;submit
2023-04-30 16:24:03.588902;183;173;0;submit
2023-04-30 16:23:57.440069;183;173;0;submit
2023-04-30 16:23:51.828616;183;173;0;submit
2023-04-30 16:23:46.726803;183;173;0;submit
2023-04-30 16:23:41.369348;183;173;0;submit
2023-04-30 16:23:31.022918;183;173;0;submit
2023-04-30 16:22:45.511937;183;173;;run
2023-04-30 16:20:29.088286;183;173;;run
2023-04-30 16:20:00.714486;183;173;;run
2023-04-30 16:16:45.762189;183;173;;run
2023-04-30 16:14:50.804591;183;173;;run
2023-04-30 16:14:38.555639;183;173;;run
2023-04-30 16:14:26.660690;183;173;;run
2023-04-30 16:13:35.536251;183;173;;run
2023-04-30 16:11:52.153244;183;173;0;submit
2023-04-30 16:11:27.421865;183;173;;run
2023-04-30 16:10:58.284833;183;173;;run
2023-04-30 16:10:30.194489;183;173;;run
2023-04-30 16:09:20.384067;183;173;;run
2023-04-30 16:08:56.052243;183;173;;run
2023-04-30 16:06:40.280855;183;173;;run
2023-04-30 16:04:58.642924;183;173;;run
2023-04-30 16:03:28.691113;183;173;0;submit
2023-04-30 16:01:18.714292;183;173;0;submit
2023-04-30 15:24:59.917784;183;173;;run
2023-04-30 15:20:23.805670;183;173;;run
2023-04-30 15:20:06.724666;183;173;;run
2023-04-30 15:19:29.806172;183;173;;run
2023-04-30 15:19:01.614972;183;173;;run
2023-04-30 15:14:13.931621;183;173;;run
2023-04-30 14:36:55.761646;183;175;1;submit
2023-04-30 14:36:23.616832;183;175;0;submit
2023-04-30 13:22:19.979007;267;173;1;submit
2023-04-30 13:21:27.101413;267;173;0;submit
2023-04-30 13:21:22.032759;267;173;0;submit
2023-04-30 13:21:14.709408;267;173;0;submit
2023-04-30 13:21:05.997824;267;173;0;submit
2023-04-30 13:20:58.671843;267;173;0;submit
2023-04-30 13:20:54.111999;267;173;0;submit
2023-04-30 13:20:45.670384;267;173;0;submit
2023-04-30 13:20:40.778535;267;173;0;submit
2023-04-30 13:20:34.610296;267;173;0;submit
2023-04-30 13:20:26.618578;267;173;0;submit
2023-04-30 19:38:01.041351;546;11;1;submit
2023-04-30 19:37:49.609646;546;11;;run
2023-04-30 19:38:20.807230;546;12;;run
2023-04-30 19:38:18.655378;546;12;1;submit
2023-04-30 19:52:25.767101;546;126;;run
2023-04-30 19:52:20.761675;546;126;1;submit
2023-04-30 19:51:40.890616;546;126;0;submit
2023-04-30 19:51:31.035474;546;126;0;submit
2023-04-30 19:51:21.407566;546;126;0;submit
2023-04-30 19:51:13.189321;546;126;0;submit
2023-04-30 19:50:51.447910;546;126;0;submit
2023-04-30 19:49:45.473746;546;126;0;submit
2023-04-30 19:45:12.294124;546;126;0;submit
2023-04-30 19:44:57.574261;546;126;0;submit
2023-04-30 19:44:46.291147;546;126;;run
2023-04-30 19:44:41.792224;546;126;;run
2023-04-30 19:44:31.289524;546;126;0;submit
2023-04-30 19:44:18.422035;546;126;;run
2023-04-30 19:44:10.183092;546;126;;run
2023-04-30 19:43:57.596810;546;126;;run
2023-04-30 19:43:53.995833;546;126;;run
2023-04-30 19:43:48.721873;546;126;;run
2023-04-30 19:43:45.262187;546;126;;run
2023-04-30 19:43:34.891943;546;126;;run
2023-04-30 19:43:30.637415;546;126;;run
2023-04-30 19:43:01.226854;546;126;;run
2023-04-30 19:42:37.491536;546;126;0;submit
2023-04-30 15:04:27.278960;735;870;1;submit
2023-04-30 15:04:01.365235;735;870;;run
2023-04-30 15:03:08.246809;735;870;;run
2023-04-30 15:03:01.500066;735;870;;run
2023-04-30 15:02:54.746311;735;870;;run
2023-04-30 15:02:42.290994;735;870;;run
2023-04-30 15:02:32.013957;735;870;;run
2023-04-30 15:01:52.860890;735;870;;run
2023-04-30 15:01:29.343344;735;870;;run
2023-04-30 15:01:19.004169;735;870;;run
2023-04-30 15:01:01.285617;735;870;1;submit
2023-04-30 15:00:43.519130;735;870;;run
2023-04-30 15:00:32.441193;735;870;;run
2023-04-30 15:00:09.077868;735;870;;run
2023-04-30 14:58:12.401148;735;870;;run
2023-04-30 14:56:23.583860;735;870;0;submit
2023-04-30 14:56:14.035011;735;870;;run
2023-04-30 14:55:04.890556;735;870;;run
2023-04-30 14:54:20.897588;735;870;0;submit
2023-04-30 14:54:00.451581;735;870;;run
2023-04-30 14:53:36.665696;735;870;;run
2023-04-30 14:53:28.445962;735;870;;run
2023-04-30 14:53:03.708701;735;870;;run
2023-04-30 14:52:55.073699;735;870;;run
2023-04-30 14:49:55.312589;735;870;;run
2023-04-30 14:48:35.559653;735;870;0;submit
2023-04-30 14:48:25.185242;735;870;;run
2023-04-30 14:48:11.833771;735;870;;run
2023-04-30 14:47:51.149868;735;870;;run
2023-04-30 14:47:00.711543;735;870;0;submit
2023-04-30 14:46:50.093326;735;870;;run
2023-04-30 14:45:56.067181;735;870;;run
2023-04-30 14:45:34.773432;735;870;;run
2023-04-30 14:44:50.999558;735;870;;run
2023-04-30 14:44:29.606496;735;870;;run
2023-04-30 14:42:08.240685;735;870;0;submit
2023-04-30 14:41:56.800910;735;870;;run
2023-04-30 14:41:28.588413;735;870;;run
2023-04-30 20:32:01.383507;735;877;1;submit
2023-04-30 20:31:52.896978;735;877;;run
2023-04-30 20:31:35.599177;735;877;;run
2023-04-30 22:08:35.778886;735;879;1;submit
2023-04-30 22:08:27.674558;735;879;;run
2023-04-30 22:07:03.873019;735;879;0;submit
2023-04-30 22:06:43.070157;735;879;;run
2023-04-30 22:06:28.744383;735;879;;run
2023-04-30 22:06:06.553208;735;879;;run
2023-04-30 22:05:01.366541;735;879;;run
2023-04-30 22:04:55.845044;735;879;;run
2023-04-30 22:04:10.419810;735;879;;run
2023-04-30 22:13:09.119170;735;880;1;submit
2023-04-30 22:13:01.025081;735;880;;run
2023-04-30 21:07:56.028024;735;1086;;run
2023-04-30 21:07:12.223879;735;1086;;run
2023-04-30 21:05:41.574165;735;1086;;run
2023-04-30 21:04:52.964535;735;1086;;run
2023-04-30 21:02:31.907580;735;1086;;run
2023-04-30 21:02:11.826505;735;1086;;run
2023-04-30 21:02:01.368272;735;1086;;run
2023-04-30 20:59:01.350748;735;1086;;run
2023-04-30 20:58:34.699946;735;1086;;run
2023-04-30 20:57:35.114787;735;1086;;run
2023-04-30 20:56:21.207613;735;1086;;run
2023-04-30 20:55:22.181462;735;1086;;run
2023-04-30 20:54:52.728102;735;1086;;run
2023-04-30 20:54:29.271031;735;1086;;run
2023-04-30 20:50:34.514312;735;1086;;run
2023-04-30 20:49:47.692048;735;1086;;run
2023-04-30 20:48:24.561722;735;1086;;run
2023-04-30 20:47:42.559779;735;1086;;run
2023-04-30 20:46:00.953881;735;1086;;run
2023-04-30 20:42:34.662272;735;1086;;run
2023-04-30 20:41:05.452913;735;1086;;run
2023-04-30 20:40:34.688894;735;1086;;run
2023-04-30 20:37:37.591248;735;1086;0;submit
2023-04-30 20:37:28.820044;735;1086;;run
2023-04-30 20:37:05.742690;735;1086;;run
2023-04-30 20:36:49.300810;735;1086;;run
2023-04-30 20:34:54.282080;735;1086;;run
2023-04-30 15:37:55.244322;735;1086;;run
2023-04-30 15:36:59.088685;735;1086;;run
2023-04-30 15:36:36.899392;735;1086;;run
2023-04-30 15:36:12.716264;735;1086;;run
2023-04-30 15:35:32.999476;735;1086;;run
2023-04-30 15:34:43.159062;735;1086;;run
2023-04-30 15:34:17.418753;735;1086;;run
2023-04-30 15:34:06.866117;735;1086;;run
2023-04-30 15:32:08.462761;735;1086;;run
2023-04-30 15:31:06.394942;735;1086;;run
2023-04-30 15:30:37.546268;735;1086;;run
2023-04-30 15:29:36.825906;735;1086;;run
2023-04-30 15:29:17.673052;735;1086;;run
2023-04-30 15:29:08.557314;735;1086;;run
2023-04-30 15:27:13.966281;735;1086;;run
2023-04-30 15:22:36.301484;735;1086;;run
2023-04-30 15:21:25.353429;735;1086;;run
2023-04-30 15:19:22.805416;735;1086;;run
2023-04-30 15:19:11.568071;735;1086;;run
2023-04-30 13:06:17.503267;735;1086;;run
2023-04-30 13:06:11.917646;735;1086;;run
2023-04-30 13:06:06.582197;735;1086;;run
2023-04-30 13:17:18.980556;1259;15;1;submit
2023-04-30 13:48:00.871598;1259;25;1;submit
2023-04-30 13:46:39.211787;1259;25;0;submit
2023-04-30 13:45:30.487234;1259;25;0;submit
2023-04-30 13:31:48.737926;1259;25;0;submit
2023-04-30 18:14:57.021694;1299;172;1;submit
2023-04-30 18:14:45.321027;1299;172;;run
2023-04-30 18:14:28.366556;1299;172;;run
2023-04-30 17:57:29.068936;1323;175;1;submit
2023-04-30 17:56:49.541052;1323;175;0;submit
2023-04-30 21:33:41.448942;1339;756;1;submit
2023-04-30 19:24:50.890932;1370;173;1;submit
2023-04-30 19:23:48.539907;1370;173;0;submit
2023-04-30 19:23:43.731610;1370;173;0;submit
2023-04-30 19:23:38.876085;1370;173;0;submit
2023-04-30 19:23:33.421373;1370;173;0;submit
2023-04-30 19:23:25.356959;1370;173;0;submit
2023-04-30 19:23:16.746028;1370;173;0;submit
2023-04-30 19:23:08.340531;1370;173;0;submit
2023-04-30 19:23:00.991785;1370;173;0;submit
2023-04-30 19:21:58.965187;1370;173;0;submit
2023-04-30 19:19:16.021328;1370;173;0;submit
2023-04-30 14:35:43.921111;1388;151;1;submit
2023-04-30 14:35:10.297917;1388;151;1;submit
2023-04-30 14:33:38.239751;1388;151;0;submit
2023-04-30 14:32:58.641133;1388;151;0;submit
2023-04-30 14:32:10.606996;1388;151;0;submit
2023-04-30 14:26:19.131185;1388;152;1;submit
2023-04-30 14:27:17.134307;1388;153;1;submit
2023-04-30 14:21:22.605988;1388;154;1;submit
2023-04-30 14:16:26.759130;1388;155;1;submit
2023-04-30 14:16:10.273498;1388;155;0;submit
2023-04-30 14:15:42.036724;1388;155;0;submit
